,x,xdot
1e-06,-2e-07,-0.2
6e-06,-1.2e-06,-0.2
3.1e-05,-6.20001e-06,-0.2
0.000156,-3.12002e-05,-0.20000199999999999
0.000781,-0.00015620399999999998,-0.200009
0.003906,-0.00078123,-0.199996
0.019531,-0.00389931,-0.19880499999999998
0.09765599999999999,-0.018406400000000003,-0.164854
0.21604099999999998,-0.030838499999999998,-0.029173700000000004
0.344148,-0.0199937,0.21225300000000002
0.47862299999999997,0.029503700000000004,0.53073
0.626268,0.134801,0.8913030000000001
0.780982,0.297908,1.19807
0.915877,0.47095200000000004,1.3448200000000001
1.05077,0.653944,1.34146
1.18567,0.8255370000000001,1.176
1.32056,0.964534,0.862708
1.45546,1.05334,0.440014
1.59216,1.08075,-0.042861800000000005
1.7535900000000002,1.02836,-0.594955
1.9005,0.9096110000000001,-1.00039
2.0474099999999997,0.741869,-1.25465
2.1943200000000003,0.5498529999999999,-1.32856
2.34123,0.360273,-1.22464
2.48814,0.19710999999999998,-0.977022
2.63505,0.0773279,-0.645692
2.78746,0.00619405,-0.29331399999999996
2.9382900000000003,-0.0157934,-0.0161789
3.08911,-0.00550456,0.126364
3.22111,0.0118069,0.11385
3.35311,0.0188942,-0.0265029
3.4851099999999997,0.000160189,-0.271919
3.62019,-0.057533,-0.589018
3.7680599999999997,-0.17135899999999998,-0.9458850000000001
3.9220699999999997,-0.34158,-1.24546
4.05651,-0.520001,-1.38598
4.19096,-0.707492,-1.3763299999999998
4.32541,-0.882783,-1.20466
4.45985,-1.02475,-0.885164
4.5943,-1.11586,-0.456122
4.73072,-1.1449,0.0343092
4.89205,-1.09307,0.597076
5.03921,-0.972985,1.01384
5.18636,-0.8021590000000001,1.27926
5.33352,-0.605417,1.36368
5.48067,-0.409645,1.2691299999999999
5.62783,-0.23907199999999998,1.02924
5.77499,-0.110953,0.7037260000000001
5.9270000000000005,-0.0307415,0.35673
6.07837,0.00104199,0.0809266
6.2297400000000005,0.000553016,-0.0612357
6.36189,-0.00817437,-0.048893599999999995
6.49405,-0.0067396,0.09052260000000001
6.6262,0.0203752,0.334268
6.761410000000001,0.08638660000000001,0.648746
6.909439999999999,0.208889,1.00159
7.0627699999999995,0.386373,1.2941200000000002
7.19676,0.570299,1.4285
7.33075,0.762439,1.41269
7.464739999999999,0.9415950000000001,1.23488
7.598730000000001,1.0867200000000001,0.909219
7.73272,1.18032,0.47376
7.86884,1.21118,-0.024354
8.03004,1.1601299999999999,-0.598105
8.17746,1.0388,-1.02683
8.32488,0.8648680000000001,-1.3041
8.4723,0.663273,-1.39971
8.61972,0.461084,-1.31511
8.76714,0.28279699999999997,-1.08341
8.91457,0.14598699999999998,-0.763971
9.06617,0.056410800000000004,-0.42248500000000005
9.21815,0.0143995,-0.147813
9.37013,0.00470671,-0.005795600000000001
9.50245,0.00458928,-0.0177878
