,x,xdot
1e-06,-2e-07,-0.2
6e-06,-1.2e-06,-0.200001
3.1e-05,-6.20007e-06,-0.200004
0.000156,-3.12017e-05,-0.200022
0.000781,-0.000156242,-0.200107
0.003906,-0.000782192,-0.200489
0.019531,-0.00392343,-0.20127799999999998
0.09765599999999999,-0.019003400000000004,-0.176847
0.216477,-0.033509500000000005,-0.0495891
0.342079,-0.0256065,0.191958
0.471505,0.020180200000000002,0.52682
0.614052,0.124742,0.9430129999999999
0.763051,0.296626,1.35215
0.894273,0.4927,1.6148799999999999
1.00567,0.6793899999999999,1.7148400000000001
1.11706,0.869324,1.6695900000000001
1.21535,1.02613,1.50168
1.31364,1.161,1.2268
1.41392,1.2664799999999998,0.866677
1.5174299999999998,1.33497,0.45345100000000005
1.62825,1.3606,0.0132203
1.75456,1.33312,-0.435418
1.88087,1.25443,-0.793808
2.00718,1.13705,-1.04662
2.13919,0.9878379999999999,-1.19429
2.2664400000000002,0.8326549999999999,-1.2275200000000002
2.3936900000000003,0.679551,-1.16395
2.52094,0.539747,-1.0225
2.65958,0.412029,-0.8142689999999999
2.8292200000000003,0.29646999999999996,-0.5546479999999999
3.02031,0.21066300000000002,-0.37335999999999997
3.1585799999999997,0.160162,-0.379661
3.29685,0.0991082,-0.527517
3.4351199999999995,0.00790022,-0.812967
3.5733900000000003,-0.13069,-1.20557
3.7116599999999997,-0.327798,-1.64727
3.84993,-0.584429,-2.04889
3.9476,-0.794916,-2.24437
4.04526,-1.01878,-2.3157799999999997
4.13039,-1.21401,-2.24992
4.21551,-1.39821,-2.0573099999999998
4.3006400000000005,-1.56104,-1.75157
4.38954,-1.6992099999999999,-1.34579
4.48152,-1.8018,-0.8815649999999999
4.5734900000000005,-1.86146,-0.419555
4.66876,-1.8800700000000001,0.020072
4.75873,-1.8616099999999998,0.380578
4.8487,-1.81338,0.6817340000000001
4.93867,-1.7407099999999998,0.9238860000000001
5.02864,-1.6488099999999999,1.11
5.12573,-1.53368,1.25194
5.2371099999999995,-1.38842,1.34439
5.3587,-1.22285,1.36541
5.4803,-1.05941,1.31112
5.6019,-0.906544,1.19425
5.7272,-0.766912,1.02919
5.872809999999999,-0.632346,0.820148
6.0668,-0.496017,0.607644
6.227069999999999,-0.403542,0.573516
6.38735,-0.302408,0.7208939999999999
6.547619999999999,-0.162136,1.05998
6.67773,0.00045453800000000004,1.4538200000000001
6.811310000000001,0.22546999999999998,1.9202099999999998
6.944889999999999,0.5126890000000001,2.36801
7.0366100000000005,0.741305,2.60174
7.116630000000001,0.9546479999999999,2.7130099999999997
7.1966600000000005,1.17236,2.7067
7.276680000000001,1.38421,2.56513
7.3567,1.57933,2.29087
7.436719999999999,1.74797,1.90913
7.515739999999999,1.8816400000000002,1.4672399999999999
7.594760000000001,1.97932,1.00489
7.673769999999999,2.0409,0.558949
7.7599100000000005,2.0697099999999997,0.11980299999999999
7.83886,2.0651,-0.227318
7.91781,2.0352799999999998,-0.518867
7.996760000000001,1.9845700000000002,-0.7572949999999999
8.07571,1.9169900000000002,-0.946883
8.15611,1.83463,-1.09429
8.24258,1.73485,-1.20583
8.33958,1.61398,-1.27758
8.44931,1.4722,-1.29588
8.5711,1.31673,-1.2453299999999998
8.6929,1.17143,-1.1315
8.814689999999999,1.04298,-0.972045
8.94909,0.925633,-0.773332
9.1154,0.81605,-0.55604
9.2817,0.734532,-0.44915
9.42385,0.669024,-0.49665200000000004
9.566,0.58615,-0.695
9.70815,0.464379,-1.0416100000000001
9.8503,0.284127,-1.5119999999999998
9.96912,0.0777988,-1.9667299999999999
10.0879,-0.183606,-2.4294
10.1885,-0.445858,-2.77331
10.2699,-0.6804899999999999,-2.97412
10.3514,-0.927199,-3.0634200000000003
10.4219,-1.1425299999999998,-3.02372
10.4924,-1.3508,-2.8622400000000003
10.5629,-1.54344,-2.58284
10.6374,-1.72148,-2.18355
10.7218,-1.88378,-1.65242
10.7962,-1.98858,-1.1656
10.8706,-2.0577900000000002,-0.700886
10.9538,-2.09633,-0.23757199999999998
11.0285,-2.1005,0.115473
11.1031,-2.08062,0.406955
11.1778,-2.0411799999999998,0.640238
11.2525,-1.98633,0.8206709999999999
11.328,-1.9189900000000002,0.95504
11.4085,-1.83792,1.05069
